N/A;USD TO AUD 1M FWD PTS - EXCHANGE RATE;USD TO AUD 3M FWD PTS - EXCHANGE RATE;USD TO AUD 6M FWD PTS - EXCHANGE RATE;USD TO AUD 9M FWD PTS - EXCHANGE RATE;USD TO EUR 1M FWD PTS - EXCHANGE RATE;USD TO EUR 3M FWD PTS - EXCHANGE RATE;USD TO EUR 6M FWD PTS - EXCHANGE RATE;USD TO EUR 9M FWD PTS - EXCHANGE RATE;USD TO NZD 1M FWD PTS - EXCHANGE RATE;USD TO NZD 3M FWD PTS - EXCHANGE RATE;USD TO NZD 6M FWD PTS - EXCHANGE RATE;USD TO NZD 9M FWD PTS - EXCHANGE RATE;SEK TO USD 1M FWD PTS - EXCHANGE RATE;SEK TO USD 3M FWD PTS - EXCHANGE RATE;SEK TO USD 6M FWD PTS - EXCHANGE RATE;SEK TO USD 9M FWD PTS - EXCHANGE RATE;NOK TO USD 1M FWD PTS - EXCHANGE RATE;NOK TO USD 3M FWD PTS - EXCHANGE RATE;NOK TO USD 6M FWD PTS - EXCHANGE RATE;NOK TO USD 9M FWD PTS - EXCHANGE RATE;USD TO GBP 1M FWD PTS - EXCHANGE RATE;USD TO GBP 3M FWD PTS - EXCHANGE RATE;USD TO GBP 6M FWD PTS - EXCHANGE RATE;USD TO GBP 9M FWD PTS - EXCHANGE RATE;JPY TO USD 1M FWD PTS - EXCHANGE RATE;JPY TO USD 3M FWD PTS - EXCHANGE RATE;JPY TO USD 6M FWD PTS - EXCHANGE RATE;JPY TO USD 9M FWD PTS - EXCHANGE RATE;CAD TO USD 1M FWD PTS - EXCHANGE RATE;CAD TO USD 3M FWD PTS - EXCHANGE RATE;CAD TO USD 6M FWD PTS - EXCHANGE RATE;CAD TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD 1M FWD PTS - EXCHANGE RATE;CHF TO USD 3M FWD PTS - EXCHANGE RATE;CHF TO USD 6M FWD PTS - EXCHANGE RATE;CHF TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD (LSEG DS) - EXCHANGE RATE;EURO TO US $ (RFV) - EXCHANGE RATE;CAD TO USD (LSEG DS) - EXCHANGE RATE;AUD TO USD (LSEG DS) - EXCHANGE RATE;NZD TO USD (LSEG DS) - EXCHANGE RATE;GBP TO US $ (LSEG DS) - EXCHANGE RATE;JPY TO USD (LSEG DS) - EXCHANGE RATE;NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE;SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE;Gold, USD FX Comp. U$/Troy Oz;Silver Commodity Cash Spot;Platinum,Free Market $/troy oz;Palladium, USD FX Comp. U$/Troy Oz
Code;AUD1MFP;AUD3MFP;AUD6MFP;AUD9MFP;EUR1MFP;EUR3MFP;EUR6MFP;EUR9MFP;NZD1MFP;NZD3MFP;NZD6MFP;NZD9MFP;SEK1MFP;SEK3MFP;SEK6MFP;SEK9MFP;NOK1MFP;NOK3MFP;NOK6MFP;NOK9MFP;GBP1MFP;GBP3MFP;GBP6MFP;GBP9MFP;JPY1MFP;JPY3MFP;JPY6MFP;JPY9MFP;CAD1MFP;CAD3MFP;CAD6MFP;CAD9MFP;CHF1MFP;CHF3MFP;CHF6MFP;CHF9MFP;TDCHFSP;EUDOLLR;TDCADSP;TDAUDSI;TDNZDSI;TSUSDSP;TDJPYSP;NORKRO$;SWEKRO$;GOLDUSD;SILVCSP;PLTFREE;PALLUSD
08.06.2016;-8.95;-25.9;-48.71;-68.68;13.03;36.31;74.25;116.355;-11.02;-32.3;-60.8;-86.46;-101;-298.7698;-611;-929.5;4.5;23.24;6.5;-49;4.27;9.3;21.02499;37.75;-12.9;-32.17999;-71.015;-115.3;0.1;-0.87;-3.35;-8.38;-15.34;-44.93999;-93.10999;-143.45;0.9592;0.87769;1.2695;1.3386;1.42745;0.68955;106.985;8.10945;8.10915;1262.145;17.037;1019;562.5
09.06.2016;-8.48;-25.3;-47.7;-67.85;12.52;35.11499;72.84999;115.505;-11.46;-33.46;-62.99;-89.79;-99.83;-294.5898;-605.46;-929.8899;4.75;23.01;5.02;-45.05;3.93;8.455;19.95999;36.29999;-13.28;-33.14999;-71.59999;-117.55;0.1;-0.75;-3.6;-8.13;-15.13;-44.37999;-93.405;-144.99;0.9645;0.88296;1.2721;1.34571;1.40756;0.6916;107.095;8.1482;8.1701;1269.15;17.305;999.4;560.86
10.06.2016;-8.27;-24.68;-47.59;-67.81;12.5;35.08499;71.90999;113.36;-11.22;-32.96;-62.3;-88.48;-100;-295.45;-609.3999;-931.7598;4.5;21.9;9.74;-45;3.66;8.17;17.7;32.75499;-14.56;-34.295;-73.325;-118.695;0.03;-0.92;-2.8;-7;-15.14;-44.31999;-92.7;-143.8;0.96465;0.88515;1.2785;1.35648;1.41663;0.7014;106.985;8.20955;8.25845;1274.2;17.3375;999.5;545
13.06.2016;-8.26;-24.7;-47.66;-68.18;12.88;35.89999;73.45999;114.74;-11.98;-32.95;-61.9;-89.18;-99;-297.7998;-612.2;-932.5798;4.99;22.99;12.95;-29.3;3.99;8.39;19;33.76999;-14.78;-34.45;-73.39999;-118.2;0.01;-1.23;-2.6;-7.06;-14.57;-44.66499;-94.28999;-146.12;0.9644;0.88492;1.2835;1.35364;1.41613;0.70065;106.245;8.2421;8.23325;1284.05;17.4475;990.8;542
14.06.2016;-8.68;-24.4;-46.6;-66.74;14.27;37.00999;75.46999;117.96;-11.28;-32.65;-60.84;-85.49;-106.73;-305.25;-625;-954.5;4.51;22.51;8.4;-38.2;4.3;9.205;21.45;37.62;-16.19;-35.68999;-75.01999;-121.25;-0.06;-1.84;-4.43;-8.95;-16.29;-46.875;-97.32999;-150.67;0.9633;0.89206;1.2872;1.35888;1.43;0.7084;106.115;8.3495;8.30435;1285.845;17.392;982.5;535.5
15.06.2016;-8.65;-25.3;-48.15;-68.5;13.76;37.435;75.33499;115.5;-11.3;-32.47;-61.5;-87.2;-105.75;-317.3999;-641.5198;-952.8699;5;22.5;8.49;-39;4.32;9.55;20.2;35.2;-16.28;-36.25499;-74.96999;-118.3;-0.09;-1.09;-3.65;-6.97;-17.48;-47.85999;-97.20999;-148.85;0.9613;0.89008;1.2913;1.34998;1.42167;0.70395;106.015;8.31265;8.3309;1291.495;17.5215;981;533.29
16.06.2016;-8.27;-24.63;-46.94;-67.45;14.13;37.75;75.75499;117.14;-11.03;-32.71;-61.67;-87.95;-105.4;-314.49;-633.5;-953.5;5.7;24;18.38;-21.55;4.7;9.87;21.45;37.2;-15.68;-34.59999;-72.53;-116.415;-0.26;-1.74;-4;-6.4;-18.35;-48.71999;-100.27;-152.5;0.9651;0.89714;1.2968;1.35814;1.41924;0.7041;104.245;8.4578;8.4264;1279.145;17.165;972;534
17.06.2016;-8.45;-25.23;-47.9;-68.73;13.83;36.82999;75.53;117.675;-11.09;-32.67;-62.1;-88.71;-105.3;-309.6099;-627.825;-948.5;6.99;26.7;19.93;-18.95;5.09;9.985;21;35.75;-14.67;-33.59999;-70.72499;-113.75;-0.24;-1.55;-3.52;-6.6;-17.93;-47.42499;-97.75;-149.04;0.95995;0.88901;1.2895;1.35163;1.41763;0.6965;104.125;8.3945;8.33885;1298.595;17.493;972;534
20.06.2016;-8.48;-25.33;-47.65;-68.3;13.69;36.43999;75.245;117.4;-12.1;-33.39;-62.88;-89.3;-104.67;-308.8499;-627.0298;-949.7;6.26;27.51;15.45;-31.55;4.43;8.81;19.54999;32.625;-14.43;-33.15999;-70.14;-112.8;-0.55;-1.93;-4.15;-6.59;-16.75;-45.64;-94.06999;-145.4;0.9623;0.88207;1.28055;1.34084;1.4043;0.6803;103.935;8.25285;8.24115;1290.15;17.496;981.5;548.5
21.06.2016;-8.71;-25.75;-48.9;-68.7;14.89;36.84;75.25;117.515;-11.81;-34.47;-64.7;-90.39;-115.48;-315.0398;-630.6699;-953.0098;5;25.76;10.04;-29.75;4.25;7.79;17.34999;29.5;-15.5;-33.34999;-72.90999;-115.365;-0.92;-2.14;-4.1;-7;-18.44;-46.53;-95.84999;-147.15;0.9622;0.88723;1.2817;1.34228;1.4039;0.68265;104.745;8.30785;8.2497;1268.445;17.282;978.2;553
22.06.2016;-8.74;-26.05;-49.73;-70.01;15.4;38.39999;77.79999;119.15;-11.5;-33.92;-64.2;-92.03;-109.56;-317.1599;-635.8799;-955.95;4.75;22.49;8.94;-32.15;4.23;7.855;17.25;28.75499;-14.27;-32.97499;-69.84999;-111.25;-0.8;-1.6;-3.75;-6.65;-19.39;-48.35999;-98.92499;-147.98;0.9585;0.88637;1.28435;1.33316;1.39567;0.6799;104.405;8.29835;8.2873;1266.31;17.26;983.2;561.15
23.06.2016;-8.61;-25.89;-49.95;-71.05;14.26;36.95;75.68999;119.04;-11.57;-33.96;-64.4;-92.73;-107.9;-312.835;-628;-946;4.99;25.5;9.97;-30.55;2.85;6.13;15.25;26.7;-14.12;-32.29999;-69.7;-113.565;-0.51;-1.45;-3.75;-6.8;-17.35;-45.23499;-93.25;-145;0.9582;0.88102;1.27575;1.31397;1.37855;0.67205;106.155;8.18025;8.17995;1255.65;17.2905;968.7;565.66
24.06.2016;-8.3;-24.85;-48.1;-72.63;16.05;38.73;77.03499;114.81;-11.2;-32.01;-61.2;-88.23;-122.77;-335;-663.5598;-983.75;1.49;14.98;-3.42;-47.69;8;12.27;26.62999;41;-15.85;-33;-68.54999;-107.3;-1.49;-2.94;-2.7;-2.8;-23.57;-54.54999;-107.475;-159.7;0.9736;0.89965;1.3006;1.33994;1.40184;0.731;102.23;8.42965;8.43865;1315.98;17.7355;982.3;548.9
27.06.2016;-8.11;-24.16;-47.8;-69;13.77;36.51999;73.15999;112.75;-10.5;-31.64;-59.65;-85.83;-119.51;-329.375;-662;-975;7.5;20.65;13;-24;6.63;13.065;26.67499;43;-14.24;-33.14999;-68.14999;-107.7;-0.95;-1.58;-1.85;-2.3;-21.38;-49.48499;-100.5;-155.24;0.9785;0.91108;1.30725;1.36491;1.42939;0.756;102.005;8.6015;8.56735;1324.795;17.7415;984.5;558
28.06.2016;-7.87;-24.34;-47.38;-69;13.43;36.59999;73.905;114.755;-11.3;-32.8;-63.45;-90.46;-116.5;-329;-651;-968.3149;5;20.95;9.44;-27.75;2.86;9;21.14999;36;-13;-32.84999;-68.125;-108.74;-1.26;-2.06;-2.19;-3.9;-21.18;-50.92999;-99.125;-151.95;0.9822;0.90494;1.3023;1.35355;1.41884;0.7495;102.76;8.50955;8.55325;1312.505;17.7745;974.3;569.83
29.06.2016;-8.77;-25.24;-48.5;-70.33;13.05;38.70999;78.75999;119.05;-11.34;-32.6;-62.05;-90.18;-111.99;-346;-682;-985;4.99;19.5;4;-35;2.73;9.93;24.29999;40.5;-10.49;-35.09;-75.42499;-111.3;-1.32;-2.13;-2.6;-3.74;-19.89;-53.81;-103.79;-154.46;0.9797;0.90066;1.2931;1.34201;1.40607;0.7448;102.825;8.39235;8.49565;1318.895;18.2955;1003;588
30.06.2016;-8.5;-24.55;-47.87;-70;12.55;37.79999;78.20499;117.84;-11.36;-32.75;-62.7;-91.75;-113.52;-340.5498;-672.5;-985;3;12.98;-5.05;-43.5;3.65;12.2;28;45.2;-9.61;-33.7;-72.60999;-110.78;-1.6;-1.9;-2.8;-4.5;-20.07;-51.25;-102.88;-155.81;0.9761;0.90013;1.2925;1.3421;1.40174;0.75125;103.29;8.36795;8.4727;1322.18;18.713;1009.4;597.5
01.07.2016;-8.47;-24.55;-47.85;-69.35;12.43;37.52499;78.80499;119.6;-11.52;-33.02;-63.07;-91.4;-111.02;-339.48;-674.3899;-988.3098;1.97;12.46;-3.69;-54.68;4;12.765;30.44499;49.57999;-9.74;-33.7;-72.59999;-112.14;-1.43;-1.93;-2.75;-5.35;-17.64;-50.65999;-103.46;-155.1;0.97325;0.89831;1.2917;1.33378;1.39256;0.75405;102.525;8.33255;8.42995;1342.295;19.7595;1050.25;605.3
04.07.2016;-8.99;-24.74;-48.34;-69.75;13.19;37.69499;79.54999;121.405;-11.84;-33.07;-64.04;-91.13;-118;-338.3999;-688;-985;2.5;10;-8;-49.93;4.3;14.095;33.04999;51.5;-10.45;-33.25499;-72.625;-111.15;-1.26;-1.85;-3.04;-5.2;-17.68;-51.09999;-103.5;-154.44;0.97145;0.89787;1.28455;1.32644;1.38351;0.75235;102.565;8.30415;8.43885;1350.775;20.34;1050.25;616.5
05.07.2016;-8.7;-24.35;-47.79;-69.06;12.92;38.03;80.35999;120.8;-11.19;-32.8;-62.61;-89.98;-118.49;-345.2;-700.365;-1004.955;-0.88;2.84;-15.78;-65;3.94;14.47;33.34999;51.75;-9.81;-33.32999;-73.125;-109.625;-0.94;-1.49;-2.98;-5.44;-16.28;-50.12999;-103.37;-153.99;0.9768;0.90017;1.298;1.34012;1.39782;0.7679;101.725;8.3912;8.5018;1356.145;19.9415;1070.9;600.5
06.07.2016;-8.45;-25.01;-47.48;-69.21;13.77;41.09999;82.27499;124.57;-11.23;-32.13;-61.74;-89.15;-120.87;-363.5498;-710.0698;-1019;-2.5;-1.85;-24.44;-76.95;5;16.27499;34.87999;53.59999;-10.94;-35.95;-75.06499;-112.71;-0.81;-1.35;-2.47;-5.63;-17.18;-54.01999;-105.795;-158;0.97495;0.90322;1.29615;1.32988;1.40213;0.77335;101.325;8.48985;8.544;1363.895;20.095;1074.4;607
07.07.2016;-8.54;-24.34;-46.68;-67.65;13.39;39.45999;81.46999;123.49;-11.23;-32.97;-63.85;-91.99;-118.25;-350.45;-709.1848;-1024.5;-0.32;0.69;-14.95;-69.59;4.73;15.445;34.02499;52.59;-11.21;-35.18999;-75.03;-113.6;-0.26;-0.69;-2.5;-5.73;-16.7;-51.87999;-104.65;-155.93;0.9784;0.90314;1.30025;1.33618;1.38351;0.77465;100.785;8.4622;8.57465;1360.6;19.689;1084.3;610.5
08.07.2016;-8.55;-24.49;-46.83;-67.64;12.86;39.42999;81.59;124.14;-11.53;-33.28;-64.62;-93.35;-115.49;-349.1599;-710.4299;-1029.41;-0.3;0.5;-18.51;-75;4.57;15.125;34.06999;52.7;-11.4;-36.25;-76.73999;-116.14;0.1;-0.17;-2.2;-6.13;-17.1;-52.58499;-106.375;-158.38;0.98335;0.90625;1.3044;1.32135;1.36836;0.77185;100.545;8.54445;8.6061;1366.8;20.2845;1087;617.99
11.07.2016;-8.87;-24.45;-47;-66.55;13.57;39.5;81.89999;125.25;-11.73;-33.2;-65.1;-93.75;-121;-348;-711.0498;-1035.25;1.49;2.77;-19;-75;4.9;15.59;35.89;55.79999;-11.45;-35.7;-77.7;-117.2;0.12;-0.25;-2.5;-7.07;-17.28;-52.23999;-104.9;-158.89;0.9829;0.90531;1.3113;1.32776;1.38504;0.76955;102.805;8.4983;8.5832;1355.25;20.287;1099;623.99
12.07.2016;-9.05;-25.18;-48.2;-69.35;13.28;39.59999;84.01999;128.5;-11.54;-34.1;-64.58;-93.57;-117.13;-348.72;-722;-1053.5;1.27;-0.11;-24.73;-98;4.74;15.57;37.23;59.57999;-11.27;-35.96999;-80.09999;-121.46;-0.33;-0.85;-3.72;-8.82;-16.19;-51.53;-105.6;-161.26;0.9888;0.90338;1.30425;1.31199;1.36958;0.75515;104.695;8.42905;8.51955;1331.65;20.16;1094.8;627
13.07.2016;-8.71;-25.38;-47.56;-68.11;12.72;40.42999;83.56999;127.73;-11.35;-32.84;-63.14;-91.78;-112.95;-355.5;-720.5;-1052.25;0.5;1.47;-23.4;-84.65;4.7;16.17;36.79999;58.14;-10.83;-36.87999;-80.09999;-122.06;-0.26;-0.85;-2.79;-6.44;-15.28;-50.5;-103.61;-156.11;0.98535;0.90062;1.2978;1.31449;1.37419;0.7606;104.495;8.4176;8.48585;1342.85;20.356;1093.3;642.5
14.07.2016;-8.67;-24.69;-46.65;-66.85;12.95;40.09;83.79999;127.33;-11.1;-31.88;-60.5;-86.52;-113.05;-349.5;-715;-1039.995;-0.93;0.55;-26.5;-87.35;2.73;12.505;31;51.7;-11.84;-37.62999;-82;-125.355;-0.31;-0.99;-2.76;-5.85;-15.27;-49.23999;-100.77;-151.76;0.98085;0.90054;1.28915;1.31036;1.38918;0.74945;105.345;8.37015;8.48395;1335.1;20.33;1086.7;651
15.07.2016;-8.62;-24.34;-45.84;-64.87;13.41;41.435;85.54999;128.65;-10.95;-31.17;-59.26;-84.53;-114.8;-353.3999;-729;-1065;-0.5;-1.5;-30.5;-95;3.1;13.555;34.37;56.03999;-13.66;-39.66499;-85.31499;-129.04;-0.33;-1.13;-2.49;-5.33;-15.72;-50.42999;-103;-153.4;0.9827;0.9033;1.29705;1.31961;1.40617;0.758;104.845;8.4556;8.53655;1337.85;20.228;1087.8;649
18.07.2016;-9.19;-24.46;-45.45;-64.25;14.65;42.04999;87.10999;131.81;-11.19;-30.47;-57.17;-81.82;-123.95;-359.21;-735;-1073;-1.4;-3.3;-35.3;-105.25;3.68;13.795;34.5;56.7;-13.63;-39.73999;-85.45;-129.49;-0.52;-1.33;-3.31;-6.8;-17.35;-50.76999;-103.72;-154.68;0.9824;0.90371;1.2945;1.31735;1.40548;0.75435;106.16;8.4636;8.5604;1328.79;20.0445;1090.5;646
19.07.2016;-8.7;-23.84;-44.14;-62.1;13.67;41.64999;87.83499;132;-10.78;-30.5;-55.49;-77.91;-120.13;-361;-750;-1081;-1.7;-3.9;-38.84;-109.23;3.75;13.7;35.64999;57.32999;-12.5;-38.45;-85.5;-128.3;-0.77;-1.81;-4.8;-7.77;-16.24;-49.995;-103;-154.24;0.9855;0.90814;1.302;1.33271;1.41784;0.76275;106.125;8.5052;8.60985;1332.135;19.911;1089.3;658.5
20.07.2016;-8.29;-23.84;-43.05;-60.6;13.1;42.465;88.17;133.5;-10.93;-30.05;-57.43;-81.33;-116.24;-373.25;-748.8298;-1096.9;-1.75;-4.91;-44.55;-122.85;4.15;15.8;37.39999;61;-12.65;-40.34999;-86.79999;-131.8;-0.77;-2.07;-4.76;-8.31;-15.73;-51.17499;-103.51;-155.1;0.9871;0.90831;1.30575;1.33726;1.42268;0.757;106.845;8.49355;8.59485;1315.95;19.411;1074.1;672
21.07.2016;-8.1;-22.99;-41.79;-58.72;13.66;42.53999;89.42;135.125;-10.68;-28.91;-53.03;-74.49;-118.22;-373.5398;-766;-1115;-1.4;-5.1;-53.5;-132;3.94;15.65;38;61.75;-12.49;-39.56;-87.325;-133.91;-0.76;-2.21;-6.1;-11.3;-15.65;-49.98999;-103.78;-156.54;0.9857;0.90926;1.30875;1.33396;1.42939;0.75565;105.815;8.47245;8.60835;1331.09;19.79;1091.1;685
22.07.2016;-7.89;-22.49;-41.19;-57.2;13.52;42.56;89.265;134.89;-10.73;-28.93;-53.2;-73.77;-118.98;-374.5;-766.5;-1127.5;-2;-8.4;-60.1;-139.98;4.3;16.09999;38.89999;63.25;-12.19;-39.19499;-86.575;-133.045;-1.32;-2.72;-7.38;-13.02;-15.59;-49.71999;-103.36;-156.245;0.9874;0.91095;1.31255;1.33949;1.42837;0.76275;106.075;8.5438;8.6656;1322.385;19.63;1092.2;682.5
25.07.2016;-8.38;-22.46;-40.78;-57.01;14.45;43.2;91;136.94;-11;-29.01;-53.21;-73.6;-129.99;-386.6948;-793.5;-1165.01;-3.5;-12.3;-66.45;-151.3;5.71;18.53499;42.09999;67.23999;-12.9;-39.42999;-86.84;-134.325;-1.57;-3.48;-8.38;-14.58;-17.79;-49.59;-103.05;-155.9;0.98585;0.91124;1.32155;1.33878;1.42918;0.76095;105.785;8.5812;8.6493;1315.555;19.5515;1069.3;687
26.07.2016;-8.12;-22.59;-42.25;-59;14.28;44.35999;93.78;139.5;-11.43;-29.63;-53.2;-74;-134.02;-399.8999;-820.0649;-1154.39;-5.5;-14.5;-70.33;-149.15;6.32;20.2;45.65999;71;-12.8;-39.405;-88.17;-133.8;-1.75;-4.25;-8.27;-13.3;-16.1;-49.93999;-105.13;-157.1;0.9924;0.91037;1.3188;1.33289;1.41753;0.76155;104.655;8.5807;8.65255;1320.32;19.6395;1093.5;689.5
27.07.2016;-8.4;-23.14;-42.39;-59.1;14.58;45.38499;93.29999;137.965;-10.36;-28.82;-53.1;-74.64;-140.45;-414.4949;-826.24;-1196;-7.08;-14.82;-74.76;-152.68;6.71;22.10999;47.89999;72.85999;-13.19;-41;-89.14;-134.79;-1.9;-3.78;-8.14;-12.45;-16.46;-50.79999;-104.415;-154.99;0.986;0.90996;1.31885;1.33494;1.41323;0.75635;105.4;8.59755;8.67875;1339.86;20.3575;1120.6;704.5
28.07.2016;-7.65;-22;-41.19;-57.85;13.75;44.75;92.5;138.5;-10.2;-28.55;-52.7;-74.04;-131.5;-401.3999;-810;-1191.87;-9.5;-19;-76.65;-151.25;6.41;21.375;47.39999;72.7;-12.35;-40.14999;-87.39999;-133.3;-1.97;-4.4;-8.66;-12.02;-15.66;-49.56;-103.88;-154.53;0.9809;0.90224;1.3156;1.33289;1.41383;0.7596;105.265;8.5537;8.64415;1335.79;20.172;1143;698
29.07.2016;-8.15;-22.08;-41.6;-58.7;13.16;43.60999;90.47499;134.96;-10.37;-28.9;-54.1;-76.25;-124.45;-389.7;-784;-1136.12;-6.8;-11.85;-57.85;-111.3;6.17;21.00999;45.60999;69.2;-10.67;-35.28999;-77.09999;-117.2;-2.72;-5.22;-8.94;-11.7;-17.46;-49.42;-102.565;-152.8;0.9693;0.89425;1.303;1.31631;1.38735;0.75605;102.065;8.4229;8.5334;1350.91;20.335;1141.4;712.5
01.08.2016;-8.11;-21.67;-40.81;-57.93;14.73;43.51999;90.98499;136.245;-10.88;-28.85;-54.2;-74.77;-137.2;-394.95;-798;-1153.12;-5.5;-9.49;-58.55;-119.25;6.94;21.16499;46.27499;70.375;-11.93;-36.17999;-78.29999;-120.9;-2.4;-4.93;-9;-13.54;-17.7;-49.90999;-103.4;-154.405;0.96845;0.89514;1.3123;1.32688;1.39431;0.75885;102.395;8.4597;8.5794;1353.21;20.445;1153.5;715.5
02.08.2016;-7.27;-20.41;-38.53;-53.56;14.63;44.28999;93.53;138.13;-10.63;-29.4;-54.32;-75.29;-132.95;-393.5999;-810.3398;-1165.95;-1.65;-7.43;-48.65;-108.38;6.82;21.81999;47.75999;71.29999;-11.35;-36.29999;-79.51999;-121;-2.77;-5.53;-10.28;-14.53;-16.86;-49.85999;-103.68;-153.4;0.9642;0.89095;1.31105;1.31406;1.38064;0.74865;100.895;8.42715;8.52035;1363.68;20.627;1175.1;716.99
03.08.2016;-6.87;-20.26;-37.66;-52.99;14.32;45.56999;93.73;139.23;-10.08;-28.3;-52.02;-73.19;-128.2;-401.5;-806;-1170.135;-2.63;-9.5;-54.74;-111.2;6.94;21.92;47.5;71.375;-10.95;-36.51999;-79.05499;-120.875;-2.91;-6.01;-11.95;-17;-16.86;-51.83499;-104.6;-155.445;0.97315;0.89502;1.3067;1.3177;1.39684;0.7503;101.235;8.42835;8.52825;1357.9;20.405;1161.5;711.5
04.08.2016;-6.77;-19.82;-37.32;-53.3;13.56;43.62999;91.08499;136.965;-10.03;-27.88;-51.59;-73.08;-120.8;-387.2998;-794;-1176.5;-3.5;-9.4;-56.24;-114.5;6.78;22.36499;49.59999;76.40999;-10.67;-36.09;-78.59;-119.74;-2.71;-6.02;-11.93;-16.92;-16.66;-50.85999;-105.05;-156.3;0.97415;0.89779;1.3017;1.31096;1.39412;0.76295;101.215;8.43965;8.5119;1361.2;20.33;1161.2;704.3
05.08.2016;-6.86;-19.97;-36.89;-51.7;13.52;43.28;91.57999;139.03;-9.9;-27.55;-50.55;-69.74;-119.5;-383.5;-797.7;-1181.5;-3.34;-9.67;-60.3;-121.7;6.52;22.765;50.825;79.245;-11.41;-37.98;-82.89;-126.385;-2.45;-6.62;-15.4;-23.68;-16.3;-51.09999;-106.045;-158.69;0.9807;0.9033;1.3168;1.31234;1.39968;0.76495;101.81;8.50515;8.56805;1335.795;19.705;1140.7;696.5
08.08.2016;-7.13;-19.71;-36.43;-51.15;14.53;43.82999;92.45;140.15;-9.98;-27.95;-49.6;-68.85;-126.45;-381.2;-799.5098;-1179.95;-3.17;-8.5;-60.35;-121.3;7.15;23.605;52.31999;80.75;-12.04;-38.59999;-83.89;-126.99;-2.46;-7;-16.23;-25.99;-16.92;-50.81999;-105.49;-157.99;0.9825;0.90298;1.31545;1.30702;1.40086;0.7669;102.445;8.48845;8.58955;1335.385;19.739;1153.6;692.99
09.08.2016;-6.9;-20.09;-35.8;-50.4;13.77;45.25;93.78999;140.48;-9.64;-27.15;-48.4;-67;-120.8;-393.8999;-805.5;-1184;-3.25;-9.3;-53.44;-117;7.36;26.29999;55.92999;84.015;-11.2;-40.53999;-86.5;-128.25;-3.43;-8.93;-18.8;-28.26;-16.15;-52.19499;-106.32;-158.3;0.9814;0.89993;1.3117;1.30344;1.39548;0.76905;101.895;8.40665;8.5248;1340.75;19.862;1151.6;694.55
10.08.2016;-6.77;-20.23;-36.77;-51.96;13.16;45.15999;93.155;140.145;-9.81;-27;-49.2;-68.32;-114.49;-386.8098;-790;-1162.39;-3.41;-7.83;-35.8;-80.2;6.55;25.25;53.825;81.64999;-11;-39.95999;-85.59999;-127.8;-3.63;-9.22;-18.1;-26.6;-15.41;-51.06;-105.765;-157.37;0.97515;0.89582;1.3058;1.2982;1.38754;0.7686;101.285;8.26255;8.4617;1346.67;20.1;1182.9;725.5
11.08.2016;-6.94;-19.7;-36.3;-50.9;13.13;43.67999;92.85999;140.65;-9.91;-27.4;-50.1;-69.08;-115.45;-378.7998;-775.2449;-1153.37;-3.2;-6.75;-29.1;-69.27;6.09;23;51.37999;79.2;-10.91;-39.64999;-85.77499;-128.7;-2.54;-7.48;-16.82;-23.8;-15.22;-50.21999;-104.56;-156.57;0.9756;0.89457;1.2991;1.29887;1.38725;0.7719;101.955;8.2301;8.4213;1338.87;19.965;1161.2;689.5
12.08.2016;-6.82;-19.41;-36.55;-51.72;12.95;43.39999;91.59;138.525;-9.81;-27.42;-50.42;-69.64;-114.63;-375.8999;-771.1599;-1144.5;-3.54;-6;-22.18;-49.04;6.05;22.42999;48.93999;75.59999;-11.28;-39.92999;-85.12999;-127.59;-1.42;-5.56;-12.82;-19.94;-15.2;-49.95;-104;-155.625;0.97445;0.89453;1.2948;1.3077;1.38956;0.7738;101.305;8.20895;8.4359;1336.19;19.725;1143.1;686.5
15.08.2016;-7.18;-19.48;-37.1;-51.75;13.74;42.98999;90.875;137.79;-10.35;-27.7;-50.77;-70.49;-120.25;-374.5;-769;-1137.65;-4.75;-9.01;-35;-78.38;6.38;22.02499;47.59999;74.2;-11.9;-39.18999;-84.42499;-126.31;-0.8;-4.5;-11;-18;-16.13;-49.94499;-102.46;-152.195;0.9728;0.89306;1.2921;1.30319;1.38715;0.7764;101.255;8.20675;8.4499;1339.355;19.82;1116;696
16.08.2016;-6.96;-19.23;-36.84;-51.24;13.58;42.87999;92.96999;138.67;-10.04;-28.3;-51.88;-71.31;-116;-371.5698;-783.21;-1144.05;-4.52;-8.99;-38.88;-88;6.48;22.34;49.39999;76.14;-11;-37.82999;-83.95499;-125.06;-1.27;-5.28;-11.14;-16.99;-15.4;-49.23999;-104.16;-151.88;0.9618;0.8881;1.286;1.29955;1.37353;0.7665;100.305;8.218;8.42175;1346.075;19.795;1117.5;702.5
17.08.2016;-6.54;-19.32;-35.95;-50.38;12.93;44.105;92.71999;139.015;-10.06;-28.48;-52.53;-71.65;-112.27;-381.3499;-779.4949;-1148.99;-4.56;-12.59;-45.12;-102.68;6.44;23.355;50.34999;76.515;-10.4;-38.23999;-82.17999;-122.39;-1.06;-4.81;-11.35;-17.59;-15.14;-50.48999;-103.64;-152.415;0.96205;0.88688;1.2845;1.30634;1.37883;0.7667;100.27;8.22315;8.41825;1348.66;19.71;1108.8;694.5
