Date,px,spot
2020-10-15,-0.37243810693143864,0.7094513103565703
2020-10-16,-0.3208850079727821,0.7080999553897027
2020-10-19,-0.33469229687055346,0.7067986966632034
2020-10-20,-0.357537160246002,0.7047017702108467
2020-10-21,-0.4103697480273283,0.7117995003167508
2020-10-22,-0.44070288611974817,0.7117488380700219
2020-10-23,-0.4738150468241997,0.7138013490845498
2020-10-26,-0.5022641978469355,0.7123014459719353
2020-10-27,-0.5132726532219856,0.712900650165393
2020-10-28,-0.49132029886322925,0.7044982211419916
2020-10-29,-0.5039118639071916,0.7028987544634071
2020-10-30,-0.5283144563461573,0.7027011833487928
2020-11-02,-0.6368614596230504,0.7054026791193754
2020-11-03,-0.6823419948798204,0.7163015916221366
2020-11-04,-0.6439011209591339,0.7177514283253423
2020-11-05,-0.6417532388369729,0.7283002927767177
2020-11-06,-0.6689561247830156,0.7258000130644002
2020-11-09,-0.8598949105476095,0.7286027584900436
2020-11-10,-0.827821369437931,0.7285019086750008
2020-11-11,-0.7473055941986662,0.7280510800637773
2020-11-12,-0.7844460790384922,0.7232017588266775
2020-11-13,-0.8241910212003489,0.7269026677327907
2020-11-16,-0.8194912242542873,0.7318983246847348
2020-11-17,-0.7781589850874848,0.7300975410314818
2020-11-18,-0.811247634161516,0.7305989450151233
2020-11-19,-0.7968560461624197,0.7289001625447362
2020-11-20,-0.8001418668179827,0.7304015017054875
2020-11-23,-0.9660407005107619,0.7286027584900436
2020-11-24,-0.8885170044359292,0.7361005807833582
2020-11-25,-0.8295996246654447,0.7363987157206398
2020-11-26,-0.8345664089415283,0.7361981256395721
2020-11-27,-1.2439347519144217,0.738699740716391
2020-11-30,-1.5214505526950362,0.7345973304733011
2020-12-01,-1.5483274376837386,0.737147827625352
2020-12-02,-1.5233220223997979,0.7416526988741712
2020-12-03,-1.3721404061084463,0.7438981752177761
2020-12-04,-1.4547773187023605,0.7424015204383139
2020-12-07,-1.5857064512636576,0.7420985061557072
2020-12-08,-2.4439362643835505,0.7412019330546414
2020-12-09,-2.117326462341973,0.7446016381236039
2020-12-10,-2.0882195161875394,0.7533978241870837
2020-12-11,-2.5817326731192303,0.7533978241870837
2020-12-14,-2.1245289288773783,0.7538010417530396
2020-12-15,-2.06212495578062,0.7558978933125714
2020-12-16,-2.6227854002802697,0.7577020412492992
2020-12-17,-2.81656756687676,0.7622009314095382
2020-12-18,-2.9117126159672324,0.7624973312593406
2020-12-21,-3.503006214745641,0.7585987164509718
2020-12-22,-4.738483794024528,0.7522020715645051
2020-12-23,-2.770478996924064,0.7575011551892616
2020-12-24,-1.927169535623774,0.7596994628924797
2020-12-25,-1.928429092908912,0.7599477155971669
2020-12-28,-1.733869342684935,0.757799652927759
2020-12-29,-1.7409276391711082,0.7606008746910058
2020-12-30,-1.3346834641647654,0.7685508972831726
2020-12-31,-1.5096246673451663,0.7694971336231773
2021-01-01,-1.5254270319187135,0.7704991293359839
2021-01-04,-1.3918151937108991,0.7664009809932557
2021-01-05,-1.5472832470275755,0.77599987584002
2021-01-06,-1.3997922613340208,0.780201604094498
2021-01-07,-1.0802414108312952,0.7768981564206748
2021-01-08,-0.9633616807191991,0.77599987584002
2021-01-11,-0.8649788994197216,0.7697518320093601
2021-01-12,-0.9965380934306989,0.7772000590672045
2021-01-13,-0.7953461528831252,0.7733473566987348
2021-01-14,-0.762188179266321,0.7777985190716197
2021-01-15,-0.759423341795129,0.7702973347712216
2021-01-18,-0.7315967533683132,0.7681494511572171
2021-01-19,-0.7284364130510923,0.7695978081854423
2021-01-20,-0.7561305463688051,0.7747013526285617
2021-01-21,-0.7112307011658547,0.7763975155279503
2021-01-22,-0.7026510486340953,0.771700209902457
2021-01-25,-0.9862607931843126,0.7708495532926839
2021-01-26,-0.8934461978671315,0.7744013877272868
2021-01-27,-0.7163383056874029,0.766301141022399
2021-01-28,-0.6430255259337603,0.7681022497714897
2021-01-29,-0.6833962561880735,0.7642981068335895
2021-02-01,-0.7026065009563265,0.7620499142693847
2021-02-02,-0.6943326094799307,0.7606992347365699
2021-02-03,-0.690541614413176,0.7618002864369077
2021-02-04,-0.6353063801212144,0.7599996960001216
2021-02-05,-0.5953681299741831,0.7678014772500423
2021-02-08,-0.545573269423727,0.7701015763979269
2021-02-09,-0.5090468710633456,0.7738979692917286
2021-02-10,-0.572399838555393,0.7722007722007722
2021-02-11,-0.6008881610974903,0.7751998077504477
2021-02-12,-0.5714393822708885,0.7756026432538082
2021-02-15,-0.5749746586392046,0.7779982106041157
2021-02-16,-0.5295415261841185,0.7757530622852135
2021-02-17,-0.5106975329005614,0.7751517359523127
2021-02-18,-0.45857267544135993,0.7768015971040836
2021-02-19,-0.39637496659139515,0.7869987801518907
2021-02-22,-0.3634314983991249,0.791602678783465
2021-02-23,-0.40051852544187305,0.7911016882110027
2021-02-24,-0.4571530859709405,0.7968508454587471
2021-02-25,-0.5330306514694794,0.7873023871008377
2021-02-26,-0.5997160304960225,0.7706000662716057
2021-03-01,-0.7670550016936062,0.7772000590672045
2021-03-02,-0.8863768927547255,0.7818975088745368
2021-03-03,-0.7557516610068316,0.7775989300238723
2021-03-04,-0.8176822426009256,0.7726004960095184
2021-03-05,-0.9039669004418105,0.7686985932815743
2021-03-08,-0.9537971485640284,0.7649997322500937
2021-03-09,-0.9275837770317263,0.7711527190844876
2021-03-10,-0.7059374884921255,0.7735028851657616
2021-03-11,-0.6795148065297241,0.7789496642726947
2021-03-12,-0.512610913964151,0.7766025192985726
2021-03-15,-0.6434455252635196,0.7755003916276978
2021-03-16,-0.7559314318006383,0.7745993384921649
2021-03-17,-0.6685788807936355,0.7796480668626182
2021-03-18,-0.6561429952900433,0.7758975194556303
2021-03-19,-0.6534430603466479,0.774299452570287
2021-03-22,-0.821918443139058,0.7745993384921649
2021-03-23,-0.6975336868031423,0.762450821921986
2021-03-24,-0.5979718394011346,0.7582995890016228
2021-03-25,-0.6146508899762537,0.7579489900329708
2021-03-26,-0.6240178080096914,0.7637027363469043
2021-03-29,-0.6055703342855434,0.7631024693995909
2021-03-30,-0.7212619619334504,0.7596475235490732
2021-03-31,-0.7100032710827264,0.7597975899220447
2021-04-01,-0.6673321648875685,0.7618002864369077
2021-04-02,-0.6711085505106684,0.7606529444875482
2021-04-05,-0.7080562131145385,0.7649997322500937
2021-04-06,-0.7691776304974418,0.766301141022399
2021-04-07,-0.6899948671035272,0.7614986293024673
2021-04-08,-0.5329330579639802,0.7652983132825175
2021-04-09,-0.5170106593843649,0.7622009314095382
2021-04-12,-0.5229548788987515,0.7622997057523135
2021-04-13,-0.5776657400125007,0.7639010900868556
2021-04-14,-0.5606228830146165,0.772302155495316
2021-04-15,-0.5948059661908811,0.7751517359523127
2021-04-16,-0.6160448026459875,0.7734011863974198
2021-04-19,-0.6319094163986794,0.7758012086982831
2021-04-20,-0.5729217448191548,0.7725527460387358
2021-04-21,-0.5768544232254147,0.7751998077504477
2021-04-22,-0.5643876376459911,0.7708020195012911
2021-04-23,-0.5700326293911484,0.7746473417976466
2021-04-26,-0.6387689624121062,0.7800007800007801
2021-04-27,-0.6936024345027825,0.7766507712142159
2021-04-28,-0.6312277797582144,0.7791013844631601
2021-04-29,-0.5667337542036854,0.7765000038825
2021-04-30,-0.6192923600856215,0.771700209902457
2021-05-03,-0.6626761892158939,0.7761986447571663
2021-05-04,-0.6234652387981932,0.7706000662716057
2021-05-05,-0.5702534725482433,0.7747973904823889
2021-05-06,-0.4781427728617338,0.7779982106041157
2021-05-07,-0.49834767498424526,0.7843998556704265
2021-05-10,-0.5212209071636664,0.7830976209494276
2021-05-11,-0.5780332960658718,0.7842030144763876
2021-05-12,-0.555087835496515,0.7726004960095184
2021-05-13,-0.5556629352665432,0.7730006338605198
2021-05-14,-0.5378341941997267,0.7773994433819985
2021-05-17,-0.584974062435295,0.7766025192985726
2021-05-18,-0.6740571363106351,0.7793017456359103
2021-05-19,-0.6150835388363252,0.7727975270479134
2021-05-20,-0.5622932260651581,0.7775989300238723
2021-05-21,-0.5499690275412306,0.7731978690666728
2021-05-24,-0.564986395461542,0.7753019801212573
2021-05-25,-0.56468866019177,0.7750976623054505
2021-05-26,-0.557100289103607,0.7739997987600523
2021-05-27,-0.6354598649449539,0.774299452570287
2021-05-28,-0.6366636998134112,0.7714025641421232
2021-05-31,-0.6461172748817301,0.7735028851657616
2021-06-01,-0.7095880780216834,0.7755003916276978
2021-06-02,-0.7693228987171175,0.7753019801212573
2021-06-03,-0.7449170817330764,0.7659020411289397
2021-06-04,-0.7124704249683589,0.7738021542651975
2021-06-07,-0.685355659466591,0.7753981669587333
2021-06-08,-0.7550539233958098,0.77414959666806
2021-06-09,-0.6393042010122141,0.7730006338605198
